"Content","Location","Image_URL","Post_date","Likes","IsVideo","Views"
"Our new Water Rose collection is what skincare dreams are made of 💖🌹With rose water✔️NO nasties (no oils, no parabens, and dyes)🌱VeganAvailable @Walgreens-#skincare #new #rosewater #roses #micellarwater #beauty #makeup #skincaregoals #healthyskin #breakingnews #newproduct #waterrose",,"https://scontent-iad3-1.cdninstagram.com/vp/bc4213e1d1265a130724485947465cc3/5E4CB197/t51.2885-15/fr/e15/s1080x1080/70935905_720238798474039_5555690657746219064_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107","Oct 16, 2019","4,120","False",
"On repeat🔁 Water Rose 24 Moisture Gel🌹With rose water + 💧hyaluronic acid✔️Instantly absorbs into skin✔️Lightweight✔️For normal to combination skin-#skincare #new #rosewater #roses #moisturizer #beauty #makeup #skincaregoals #healthyskin #breakingnews #newproduct #waterrose",,"https://scontent-iad3-1.cdninstagram.com/vp/e1b08b3d68c751dae7d84af2eb87a429/5E40D8D7/t51.2885-15/fr/e15/s1080x1080/70844783_159200278478804_8798156387955301084_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Oct 15, 2019","2,499","False",
"Issa a vibe: Mermaid hair 🧜🏼‍♀️ with @kamilabravo. Comment 💖 if you love this shade! Get the look with Olia 7.20 Dark Rose Quartz.-#haircolor #color #pinkhair #olia #oils #hairstyle #pinkhaircolor #pink",,"https://scontent-iad3-1.cdninstagram.com/vp/37a8934b125711e7425fa63955426486/5E41BF4E/t51.2885-15/fr/e15/s1080x1080/70558809_2416744065206849_8100716681488810386_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105","Oct 15, 2019","540","False",
"Here’s everything we love about Whole Blends Legendary Olive leave-in treatment✔️Makes our hair super soft post-shower✔️Smells amazing✔️Silicone free-#ourblend #blendedmakesusbetter #blendedingredients #oliveoil #olive #haircare #hair #instaair #healthyhair #hairgoals #treatment",,"https://scontent-iad3-1.cdninstagram.com/vp/b21e23b1b95779c7b2e1f43e37b45e0a/5E426A00/t51.2885-15/fr/e15/s1080x1080/71569006_142239690424604_7926164747885216889_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Oct 14, 2019","769","False",
"Monday blowout on fleek thanks to #Fructis Sleek Shot.✨Cuts sleeking time in half✨No flat iron needed✨Gives you smooth and frizz-free hair-#Fructis #haircare #hair #instahair #hairgoals #shampoo #sleekittobelieveit #sleekshot #blowoutstyles #blowdrystyle",,"https://scontent-iad3-1.cdninstagram.com/vp/8ed9c76c563f2b98775d119b56e96b69/5E64B417/t51.2885-15/fr/e15/s1080x1080/73114820_1052749788389567_4396628243391200658_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111","Oct 14, 2019","494","False",
"Currently loving: #Fructis Curl Treat Smoothie〰️Defines curls〰️For fine to normal hair🌱98% naturally-derived-#curltreats #curlyhair #curls #curl #curly #curlfriends #curlcrush #hairinspo #haircare",,"https://scontent-iad3-1.cdninstagram.com/vp/389c51ee98aea2f131ab21ee5b9544de/5E56FE1E/t51.2885-15/fr/e15/s1080x1080/71290823_136276741010102_3515604894595678790_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102","Oct 13, 2019","1,062","False",
"Wash day or second-day hair? Which one did you use today?🌱Pure Clean Dry Shampoo💧Pure Clean Detangler-#hair #dryshampoo #aloe #vitamine #healthyhair #instahair #hairinspo #detangler",,"https://scontent-iad3-1.cdninstagram.com/vp/25b4cf944c33619d940ee38707ed354b/5E4FCCCB/t51.2885-15/fr/e15/s1080x1080/71828263_506113210186426_6842776752453499447_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110","Oct 13, 2019","1,253","False",
"Say goodbye to unwanted yellow-orange tones and say hello to fresh-looking blonde with Anti-Brass Nourishing Treatment.✨Apply 2-3 times a week🥑Formulated with avocado, shea, and olive oils-#blonde #blondes #blondehair #brassyhair #haircolor #antibrass #purpleshampoo",,"https://scontent-iad3-1.cdninstagram.com/vp/0bb44dad66e61de98ad0f29760960c8d/5E54E3A6/t51.2885-15/fr/e15/s1080x1080/71575600_183892232773004_6973637319619013188_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Oct 12, 2019","858","False",
"Too many hair products said no one ever. Which one is your fave to get your curls ready?-#curls #curlfriends #curlyhair #haircare #hair #instahair #healthyhair #hairgoals",,"https://scontent-iad3-1.cdninstagram.com/vp/f8dbb6ba762d62481e4425598adf1e75/5E543AF8/t51.2885-15/fr/e15/s1080x1080/70467577_135164801149572_2107807294275562806_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100","Oct 12, 2019","1,066","False",
"The perfect blowout right in your hands 🙌🏼 1️⃣Mix 1:1 ratio of #Fructis Sleek Shot + your fave shampoo2️⃣Rinse3️⃣Blow-dry-#haircare #hair #sleekandshine #sleekittobelieveit #sleekshot #hairserum #healthyhair #instahair #shampoo",,"https://scontent-iad3-1.cdninstagram.com/vp/567f8ce65e4372d1755ab75b09321fa5/5E4ABE68/t51.2885-15/fr/e15/s1080x1080/72352282_409782686407580_1072267965022360054_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Oct 11, 2019","640","False",
